TP,FP,FN,TN,Precision,Recall,Specificity,Accuracy
9,1,28,21,90.0,24.324324324324326,95.45454545454545,50.847457627118644
23,2,33,18,92.0,41.07142857142857,90.0,53.94736842105263
24,0,47,16,100.0,33.80281690140845,100.0,45.97701149425287
37,4,35,14,90.2439024390244,51.388888888888886,77.77777777777779,56.666666666666664
15,0,26,15,100.0,36.58536585365854,100.0,53.57142857142857
16,5,20,24,76.19047619047619,44.44444444444444,82.75862068965517,61.53846153846154
26,1,32,18,96.29629629629629,44.827586206896555,94.73684210526315,57.14285714285714
30,1,26,17,96.7741935483871,53.57142857142857,94.44444444444444,63.51351351351351
33,1,24,13,97.05882352941177,57.89473684210527,92.85714285714286,64.7887323943662
13,1,35,18,92.85714285714286,27.083333333333332,94.73684210526315,46.26865671641791
5,1,15,18,83.33333333333334,25.0,94.73684210526315,58.97435897435898
35,0,21,17,100.0,62.5,100.0,71.23287671232876
24,1,31,24,96.0,43.63636363636363,96.0,60.0
25,0,16,29,100.0,60.97560975609756,100.0,77.14285714285715
19,1,14,22,95.0,57.57575757575758,95.65217391304348,73.21428571428571
6,0,7,10,100.0,46.15384615384615,100.0,69.56521739130434
13,0,11,15,100.0,54.166666666666664,100.0,71.7948717948718
30,0,9,21,100.0,76.92307692307693,100.0,85.0
21,0,5,27,100.0,80.76923076923077,100.0,90.56603773584906
1,1,2,8,50.0,33.33333333333333,88.88888888888889,75.0
13,0,19,18,100.0,40.625,100.0,62.0
31,0,23,23,100.0,57.407407407407405,100.0,70.12987012987013
21,0,35,22,100.0,37.5,100.0,55.12820512820513
35,1,32,15,97.22222222222221,52.23880597014925,93.75,60.24096385542169
32,0,22,18,100.0,59.25925925925925,100.0,69.44444444444444
25,0,11,24,100.0,69.44444444444444,100.0,81.66666666666667
38,3,18,13,92.6829268292683,67.85714285714286,81.25,70.83333333333334
24,0,19,18,100.0,55.81395348837209,100.0,68.85245901639344
