TP,FP,FN,TN,Precision,Recall,Specificity,Accuracy
31,1,6,22,96.875,83.78378378378379,95.65217391304348,88.33333333333333
51,0,5,18,100.0,91.07142857142857,100.0,93.24324324324324
60,0,11,16,100.0,84.50704225352112,100.0,87.35632183908046
66,2,6,14,97.05882352941177,91.66666666666666,87.5,90.9090909090909
40,3,1,14,93.02325581395348,97.5609756097561,82.35294117647058,93.10344827586206
31,4,5,24,88.57142857142857,86.11111111111111,85.71428571428571,85.9375
55,6,3,18,90.1639344262295,94.82758620689656,75.0,89.02439024390245
54,1,2,17,98.18181818181819,96.42857142857143,94.44444444444444,95.94594594594594
56,0,1,13,100.0,98.24561403508771,100.0,98.57142857142858
43,0,5,18,100.0,89.58333333333334,100.0,92.42424242424242
18,0,2,18,100.0,90.0,100.0,94.73684210526315
55,0,1,17,100.0,98.21428571428571,100.0,98.63013698630137
46,1,9,24,97.87234042553192,83.63636363636363,96.0,87.5
38,0,3,29,100.0,92.6829268292683,100.0,95.71428571428572
32,0,1,22,100.0,96.96969696969697,100.0,98.18181818181819
11,1,2,10,91.66666666666666,84.61538461538461,90.9090909090909,87.5
24,2,0,15,92.3076923076923,100.0,88.23529411764706,95.1219512195122
38,0,1,21,100.0,97.43589743589743,100.0,98.33333333333333
26,0,0,27,100.0,100.0,100.0,100.0
3,2,0,8,60.0,100.0,80.0,84.61538461538461
29,0,3,18,100.0,90.625,100.0,94.0
47,4,7,23,92.15686274509804,87.03703703703704,85.18518518518519,86.41975308641975
52,1,4,22,98.11320754716981,92.85714285714286,95.65217391304348,93.67088607594937
62,4,5,15,93.93939393939394,92.53731343283582,78.94736842105263,89.53488372093024
53,0,1,18,100.0,98.14814814814815,100.0,98.61111111111111
34,0,2,24,100.0,94.44444444444444,100.0,96.66666666666667
53,0,3,13,100.0,94.64285714285714,100.0,95.65217391304348
41,0,2,18,100.0,95.34883720930233,100.0,96.72131147540983
