TP,FP,FN,TN,Precision,Recall,Specificity,Accuracy
31,2,6,22,93.93939393939394,83.78378378378379,91.66666666666666,86.88524590163934
51,4,5,18,92.72727272727272,91.07142857142857,81.81818181818183,88.46153846153845
60,3,11,16,95.23809523809523,84.50704225352112,84.21052631578947,84.44444444444444
65,4,7,14,94.20289855072464,90.27777777777779,77.77777777777779,87.77777777777777
38,8,3,13,82.6086956521739,92.6829268292683,61.904761904761905,82.25806451612904
32,14,4,24,69.56521739130434,88.88888888888889,63.1578947368421,75.67567567567568
51,6,7,18,89.47368421052632,87.93103448275862,75.0,84.14634146341463
54,5,2,17,91.52542372881356,96.42857142857143,77.27272727272727,91.02564102564102
54,3,3,13,94.73684210526315,94.73684210526315,81.25,91.78082191780823
45,3,3,18,93.75,93.75,85.71428571428571,91.30434782608695
18,6,2,18,75.0,90.0,75.0,81.81818181818183
53,4,3,17,92.98245614035088,94.64285714285714,80.95238095238095,90.9090909090909
47,4,8,24,92.15686274509804,85.45454545454545,85.71428571428571,85.54216867469879
38,2,3,29,95.0,92.6829268292683,93.54838709677419,93.05555555555556
32,3,1,22,91.42857142857143,96.96969696969697,88.0,93.10344827586206
13,6,0,10,68.42105263157895,100.0,62.5,79.3103448275862
24,7,0,15,77.41935483870968,100.0,68.18181818181817,84.78260869565217
39,2,0,21,95.1219512195122,100.0,91.30434782608695,96.7741935483871
25,1,1,27,96.15384615384616,96.15384615384616,96.42857142857143,96.29629629629629
3,2,0,8,60.0,100.0,80.0,84.61538461538461
29,2,3,17,93.54838709677419,90.625,89.47368421052632,90.19607843137256
46,7,8,23,86.79245283018868,85.18518518518519,76.66666666666667,82.14285714285714
47,2,9,22,95.91836734693877,83.92857142857143,91.66666666666666,86.25
55,2,12,15,96.49122807017544,82.08955223880598,88.23529411764706,83.33333333333334
54,4,0,18,93.10344827586206,100.0,81.81818181818183,94.73684210526315
34,4,2,24,89.47368421052632,94.44444444444444,85.71428571428571,90.625
53,2,3,13,96.36363636363636,94.64285714285714,86.66666666666667,92.95774647887323
40,3,3,18,93.02325581395348,93.02325581395348,85.71428571428571,90.625
