filename,width,height,class,xmin,ymin,xmax,ymax
zanzibar1_102.jpg,1000,1000,Palm,718,36,790,117
zanzibar1_102.jpg,1000,1000,Palm,581,143,680,250
zanzibar1_102.jpg,1000,1000,Palm,434,64,542,167
zanzibar1_102.jpg,1000,1000,Palm,383,31,466,107
zanzibar1_102.jpg,1000,1000,Palm,271,11,381,112
zanzibar1_102.jpg,1000,1000,Palm,155,57,237,134
zanzibar1_102.jpg,1000,1000,Palm,2,94,84,181
zanzibar1_102.jpg,1000,1000,Palm,67,167,176,262
zanzibar1_102.jpg,1000,1000,Palm,169,110,295,215
zanzibar1_102.jpg,1000,1000,Palm,221,248,322,350
zanzibar1_102.jpg,1000,1000,Palm,235,373,310,442
zanzibar1_102.jpg,1000,1000,Palm,222,468,301,545
zanzibar1_102.jpg,1000,1000,Palm,234,542,331,616
zanzibar1_102.jpg,1000,1000,Palm,97,560,190,647
zanzibar1_102.jpg,1000,1000,Palm,97,673,168,748
zanzibar1_102.jpg,1000,1000,Palm,210,659,295,742
zanzibar1_102.jpg,1000,1000,Palm,90,764,176,847
zanzibar1_102.jpg,1000,1000,Palm,32,819,144,910
zanzibar1_102.jpg,1000,1000,Palm,792,897,891,991
zanzibar1_102.jpg,1000,1000,Palm,816,823,921,908
zanzibar1_102.jpg,1000,1000,Palm,841,743,933,830
zanzibar1_102.jpg,1000,1000,Palm,926,813,1000,909
zanzibar1_102.jpg,1000,1000,Palm,760,686,841,774
zanzibar1_102.jpg,1000,1000,Palm,863,601,954,694
zanzibar1_1025.jpg,1000,1000,Palm,62,56,158,150
zanzibar1_1025.jpg,1000,1000,Palm,76,199,164,280
zanzibar1_1025.jpg,1000,1000,Palm,169,156,267,261
zanzibar1_1025.jpg,1000,1000,Palm,290,85,378,166
zanzibar1_1025.jpg,1000,1000,Palm,406,1,513,75
zanzibar1_1025.jpg,1000,1000,Palm,425,99,524,197
zanzibar1_1025.jpg,1000,1000,Palm,838,110,909,181
zanzibar1_1025.jpg,1000,1000,Palm,915,202,995,289
zanzibar1_1025.jpg,1000,1000,Palm,727,234,818,318
zanzibar1_1025.jpg,1000,1000,Palm,548,257,612,325
zanzibar1_1025.jpg,1000,1000,Palm,416,301,508,391
zanzibar1_1025.jpg,1000,1000,Palm,237,312,341,415
zanzibar1_1025.jpg,1000,1000,Palm,226,700,316,793
zanzibar1_1025.jpg,1000,1000,Palm,240,932,327,994
zanzibar1_1025.jpg,1000,1000,Palm,391,834,486,926
