TP,FP,FN,TN,Precision,Recall,Specificity,Accuracy
39,0,9,13,100.0,81.25,100.0,85.24590163934425
31,0,5,22,100.0,86.11111111111111,100.0,91.37931034482759
41,0,10,19,100.0,80.3921568627451,100.0,85.71428571428571
25,0,3,23,100.0,89.28571428571429,100.0,94.11764705882352
16,0,6,15,100.0,72.72727272727273,100.0,83.78378378378379
7,0,10,11,100.0,41.17647058823529,100.0,64.28571428571429
23,0,9,11,100.0,71.875,100.0,79.06976744186046
37,1,10,14,97.36842105263158,78.72340425531915,93.33333333333333,82.25806451612904
20,1,2,13,95.23809523809523,90.9090909090909,92.85714285714286,91.66666666666666
21,1,3,19,95.45454545454545,87.5,95.0,90.9090909090909
18,2,2,16,90.0,90.0,88.88888888888889,89.47368421052632
21,0,3,17,100.0,87.5,100.0,92.6829268292683
31,0,8,15,100.0,79.48717948717949,100.0,85.18518518518519
42,1,7,14,97.67441860465115,85.71428571428571,93.33333333333333,87.5
23,0,7,17,100.0,76.66666666666667,100.0,85.1063829787234
11,1,4,24,91.66666666666666,73.33333333333333,96.0,87.5
17,0,2,14,100.0,89.47368421052632,100.0,93.93939393939394
20,0,3,19,100.0,86.95652173913044,100.0,92.85714285714286
40,0,1,16,100.0,97.5609756097561,100.0,98.24561403508771
72,0,1,10,100.0,98.63013698630137,100.0,98.79518072289156
24,0,9,16,100.0,72.72727272727273,100.0,81.63265306122449
30,0,7,18,100.0,81.08108108108108,100.0,87.27272727272727
34,1,8,19,97.14285714285714,80.95238095238095,95.0,85.48387096774194
29,0,8,15,100.0,78.37837837837837,100.0,84.61538461538461
20,0,7,21,100.0,74.07407407407408,100.0,85.41666666666666
37,0,13,18,100.0,74.0,100.0,80.88235294117648
25,2,4,26,92.5925925925926,86.20689655172413,92.85714285714286,89.47368421052632
53,0,16,15,100.0,76.81159420289855,100.0,80.95238095238095
22,0,7,38,100.0,75.86206896551724,100.0,89.55223880597015
37,1,12,17,97.36842105263158,75.51020408163265,94.44444444444444,80.59701492537313
23,0,5,25,100.0,82.14285714285714,100.0,90.56603773584906
40,0,7,22,100.0,85.1063829787234,100.0,89.85507246376811
66,0,4,13,100.0,94.28571428571428,100.0,95.18072289156626
19,0,13,20,100.0,59.375,100.0,75.0
28,0,2,18,100.0,93.33333333333333,100.0,95.83333333333334
51,0,12,19,100.0,80.95238095238095,100.0,85.36585365853658
42,0,8,20,100.0,84.0,100.0,88.57142857142857
34,0,17,16,100.0,66.66666666666666,100.0,74.6268656716418
