TP,FP,FN,TN,Precision,Recall,Specificity,Accuracy
40,0,8,13,100.0,83.33333333333334,100.0,86.88524590163934
31,0,5,22,100.0,86.11111111111111,100.0,91.37931034482759
41,2,10,19,95.34883720930233,80.3921568627451,90.47619047619048,83.33333333333334
26,1,2,23,96.29629629629629,92.85714285714286,95.83333333333334,94.23076923076923
17,2,5,15,89.47368421052632,77.27272727272727,88.23529411764706,82.05128205128204
8,2,9,11,80.0,47.05882352941176,84.61538461538461,63.33333333333333
19,2,13,11,90.47619047619048,59.375,84.61538461538461,66.66666666666666
40,2,7,14,95.23809523809523,85.1063829787234,87.5,85.71428571428571
19,0,3,13,100.0,86.36363636363636,100.0,91.42857142857143
21,1,3,19,95.45454545454545,87.5,95.0,90.9090909090909
18,5,2,16,78.26086956521739,90.0,76.19047619047619,82.92682926829268
21,1,3,17,95.45454545454545,87.5,94.44444444444444,90.47619047619048
32,1,7,15,96.96969696969697,82.05128205128204,93.75,85.45454545454545
40,1,9,14,97.5609756097561,81.63265306122449,93.33333333333333,84.375
23,2,7,17,92.0,76.66666666666667,89.47368421052632,81.63265306122449
12,1,3,24,92.3076923076923,80.0,96.0,90.0
18,2,1,14,90.0,94.73684210526315,87.5,91.42857142857143
20,0,3,19,100.0,86.95652173913044,100.0,92.85714285714286
38,0,3,16,100.0,92.6829268292683,100.0,94.73684210526315
69,0,4,10,100.0,94.52054794520548,100.0,95.18072289156626
25,1,8,16,96.15384615384616,75.75757575757575,94.11764705882352,82.0
29,2,8,18,93.54838709677419,78.37837837837837,90.0,82.45614035087719
34,2,8,19,94.44444444444444,80.95238095238095,90.47619047619048,84.12698412698413
30,0,7,15,100.0,81.08108108108108,100.0,86.53846153846155
23,0,4,21,100.0,85.18518518518519,100.0,91.66666666666666
38,0,12,18,100.0,76.0,100.0,82.35294117647058
24,2,5,26,92.3076923076923,82.75862068965517,92.85714285714286,87.71929824561403
52,2,17,15,96.29629629629629,75.36231884057972,88.23529411764706,77.90697674418605
21,1,8,38,95.45454545454545,72.41379310344827,97.43589743589743,86.76470588235294
36,2,13,17,94.73684210526315,73.46938775510205,89.47368421052632,77.94117647058823
22,1,6,25,95.65217391304348,78.57142857142857,96.15384615384616,87.03703703703704
37,3,10,22,92.5,78.72340425531915,88.0,81.94444444444444
65,0,5,13,100.0,92.85714285714286,100.0,93.97590361445783
22,2,10,20,91.66666666666666,68.75,90.9090909090909,77.77777777777779
27,1,3,18,96.42857142857143,90.0,94.73684210526315,91.83673469387756
51,1,12,19,98.07692307692307,80.95238095238095,95.0,84.33734939759037
38,2,12,20,95.0,76.0,90.9090909090909,80.55555555555556
35,1,16,16,97.22222222222221,68.62745098039215,94.11764705882352,75.0
